account_code;account_name;closing_debit;closing_credit;economic_net;economic_side;coa_code;account_type;functional_type;report_line;inclusion;issue_type;notes
4511;DECONTARI INTRE ENTITATILE AFILIATE;113000;0;113000;debit;4511;liability;bifunctional;bs_606;included;dual_routed_ok;
4551;ACTIONARI/ASOCIATI - CONTURI CURENTE;0;7921.03;-7921.03;credit;4551;liability;bifunctional;bs_1285;included;dual_routed_ok;
461;DEBITORI DIVERSI;14263345.15;0;14263345.15;debit;461;asset;activ;bs_600;included;;
471;CHELTUIELI INREGISTRATE IN AVANS;333791.61;0;333791.61;debit;471;asset;activ;bs_610;included;;
473;DECONTARI DIN OPERATIUNI IN CURS DE CLARIFICARE;0;315247.34;-315247.34;credit;473;liability;bifunctional;bs_1290;included;dual_routed_ok;
4752;IMPRUMUTURI NERAMB. CU CARACTER DE SUBVENTII PT. INVESTITII;0;49530000;-49530000;credit;4752;liability;pasiv;bs_1435;included;;
5121;CONTURI LA BANCA IN LEI;288573.73;0;288573.73;debit;5121;asset;activ;bs_690;included;;
5124;CONTURI LA BANCA IN VALUTA;49585.21;0;49585.21;debit;5124;asset;activ;bs_700;included;;
5125;SUME IN CURS DE DECONTARE;1840.46;0;1840.46;debit;5125;asset;activ;bs_701;included;;
5191;CREDITE BANCARE PE TERMEN SCURT;0;5076400;-5076400;credit;5191;liability;pasiv;bs_910;included;;
5311;CASA IN LEI;38644.84;0;38644.84;debit;5311;asset;activ;bs_720;included;;
5328;ALTE VALORI;-60760;0;-60760;credit;5328;asset;activ;bs_760;included;;
